Country_Code,Year,Traffic_Deaths,Population,GDP_Per_Capita,Alcohol_Per_Capita,Death_Rate_Per_100k
GAB,2019,519,2267706.0,7441.1786472281,7.33,22.88656466049832
GMB,2000,168,1455084.0,538.054072348854,3.74,11.54572519524646
GMB,2001,168,1495011.0,459.803068381399,3.74,11.237375510949418
GMB,2002,173,1535691.0,376.531026962584,3.86,11.265287092260097
GMB,2003,182,1577611.0,308.719123437587,3.94,11.536430717077911
GMB,2004,207,1621312.0,593.285346326581,3.95,12.767437729443808
GMB,2005,215,1667037.0,616.483657865348,3.83,12.897134256768146
GMB,2006,213,1715275.0,614.544307904464,3.69,12.417833875034615
GMB,2007,216,1765774.0,724.726407242432,3.54,12.232596017383877
GMB,2008,208,1817852.0,859.127671411226,3.45,11.44207559251248
GMB,2009,215,1871422.0,774.888030908091,3.27,11.48858995993421
GMB,2010,214,1926630.0,801.033372714536,3.17,11.107477823972427
GMB,2011,197,1983784.0,710.608411468152,3.05,9.930516628826526
GMB,2012,202,2043094.0,692.579361628102,2.87,9.886965553224668
GMB,2013,209,2103820.0,653.862713272743,2.76,9.934309969484081
GMB,2014,229,2164528.0,568.00453558864,2.35,10.579673721014466
GMB,2015,223,2224529.0,619.536364296461,2.07,10.024593970229205
GMB,2016,239,2283769.0,650.056501323611,1.62,10.4651565022557
GMB,2017,257,2342189.0,642.522641296331,1.36,10.97264140511291
GMB,2018,258,2399632.0,696.219806960615,1.11,10.751648586116538
GMB,2019,259,2456844.0,738.186751987483,1.11,10.541979873365992
GEO,2000,530,4077131.0,749.908534993961,10.57,12.999337033811276
GEO,2001,565,4014373.0,801.98383707929,10.57,14.074427064948873
GEO,2002,597,3978515.0,853.526171868939,10.21,15.0055988226763
GEO,2003,584,3951736.0,1010.03151630868,10.46,14.778315150607227
GEO,2004,602,3927340.0,1305.04748557208,11.09,15.328441133184292
GEO,2005,598,3902469.0,1642.78359414797,12.26,15.32363229534943
GEO,2006,622,3880347.0,1996.02013272284,13.53,16.029494269455796
GEO,2007,630,3860158.0,2635.36650276116,14.52,16.320575479034797
GEO,2008,698,3848449.0,3324.7537205015,14.7,18.137176821103775
GEO,2009,743,3814419.0,2822.68939668797,14.8,19.478720088170704
GEO,2010,744,3786695.0,3281.72930937343,14.84,19.647740311802245
GEO,2011,744,3756441.0,4119.66818307193,14.99,19.805981246610823
GEO,2012,763,3728874.0,4530.69533409431,14.67,20.461941057809945
GEO,2013,783,3717668.0,4712.00229382665,14.22,21.061590222687986
GEO,2014,802,3719414.0,4830.33486170249,14.02,21.562536464077407
GEO,2015,804,3725276.0,4086.6223465965,13.95,21.58229349986417
GEO,2016,777,3727505.0,4143.40125686315,13.97,20.84504246137832
GEO,2017,747,3728004.0,4418.75206546679,13.97,20.037532148570655
GEO,2018,720,3726549.0,4804.0546040444,14.33,19.32082470940272
GEO,2019,693,3720161.0,4741.2832715876,14.33,18.6282260364538
DEU,2000,7956,82211508.0,23925.8559901991,13.82,9.677477269970526
DEU,2001,7463,82349925.0,23878.3641471651,13.82,9.062546201468914
DEU,2002,7122,82488495.0,25486.5942008748,13.48,8.63393131369411
DEU,2003,6799,82534176.0,30711.1022511331,13.26,8.237799575293511
DEU,2004,6268,82516260.0,34566.7359143735,13.07,7.596078639531166
DEU,2005,5873,82469422.0,35084.4363546269,13.01,7.121427381896772
DEU,2006,5531,82376451.0,36980.3349948954,12.89,6.714297512040183
DEU,2007,5283,82266372.0,42350.9217211489,12.79,6.421822029540819
DEU,2008,5049,82110097.0,46379.1647953479,12.6,6.14906105883665
DEU,2009,4869,81902307.0,42471.8868625226,12.46,5.94488748650267
DEU,2010,4687,81776930.0,42396.9665976293,12.41,5.731445286586327
DEU,2011,4575,80274983.0,47630.9761883572,12.39,5.699160347377464
DEU,2012,4418,80425823.0,44718.0159214069,12.39,5.4932605414556965
DEU,2013,4322,80645605.0,47206.8353514242,12.31,5.3592505134036745
DEU,2014,4232,80982500.0,48959.5991203133,12.23,5.225820393294848
DEU,2015,4337,81686611.0,41929.7549110722,12.15,5.309315623340035
DEU,2016,4343,82348669.0,42948.9381932694,12.17,5.27391644909282
DEU,2017,4401,82657002.0,45553.9341495339,12.23,5.324412806552069
